tvs,tvel,time,kk,state,kq,kr
1,277,0,1.7983,0,0.32001999999999997,0.575491966
1,287,0,1.3411,0,0.32001999999999997,0.42917882199999996
1,297,0,0.6649,0,0.32001999999999997,0.212781298
1,307,0,0.4422,0,0.32001999999999997,0.14151284399999997
1,317,0,0.6122,0,0.32001999999999997,0.19591624399999996
1,327,0,1.2749,0,0.32001999999999997,0.40799349799999995
2,277,0,1.4807,0,0.55669,0.824290883
2,287,0,1.2145,0,0.55669,0.676100005
2,297,0,0.6416,0,0.55669,0.357172304
2,307,0,0.5192,0,0.55669,0.289033448
2,317,0,0.8463,0,0.55669,0.47112674700000007
2,327,0,1.4007,0,0.55669,0.7797556830000001
3,277,0,1.3573,0,0.9215700000000001,1.2508469610000001
3,287,0,1.1288,0,0.9215700000000001,1.040268216
3,297,0,0.6788,0,0.9215700000000001,0.625561716
3,307,0,0.618,0,0.9215700000000001,0.5695302600000001
3,317,0,0.9473,0,0.9215700000000001,0.8730032610000001
3,327,0,1.2774,0,0.9215700000000001,1.1772135180000003
4,277,0,1.2752,0,0.91863,1.1714369759999999
4,287,0,0.9463,0,0.91863,0.8692995689999999
4,297,0,0.6184,0,0.91863,0.568080792
4,307,0,0.6793,0,0.91863,0.624025359
4,317,0,1.1320000000000001,0,0.91863,1.03988916
4,327,0,1.3566,0,0.91863,1.246213458
5,277,0,1.4,0,0.55392,0.775488
5,287,0,0.8442,0,0.55392,0.4676192639999999
5,297,0,0.5189,0,0.55392,0.287429088
5,307,0,0.6411,0,0.55392,0.355118112
5,317,0,1.2154,0,0.55392,0.673234368
5,327,0,1.4823,0,0.55392,0.8210756159999999
6,277,0,1.2797,0,0.31455,0.402529635
6,287,0,0.608,0,0.31455,0.19124639999999998
6,297,0,0.4263,0,0.31455,0.134092665
6,307,0,0.6547,0,0.31455,0.20593588499999999
6,317,0,1.348,0,0.31455,0.42401340000000004
6,327,0,1.8130000000000002,0,0.31455,0.5702791500000001
7,277,0,1.8112,0,0.3141,0.56889792
7,287,0,1.2799,0,0.3141,0.40201659
7,297,0,0.609,0,0.3141,0.19128689999999998
7,307,0,0.4258,0,0.3141,0.13374378
7,317,0,0.6547,0,0.3141,0.20564127
7,327,0,1.3492,0,0.3141,0.42378372
8,277,0,1.3838,0,0.5483100000000001,0.758751378
8,287,0,1.3019,0,0.5483100000000001,0.7138447890000001
8,297,0,0.8420000000000001,0,0.5483100000000001,0.4616770200000001
8,307,0,0.5702,0,0.5483100000000001,0.31264636200000007
8,317,0,0.8005,0,0.5483100000000001,0.43892215500000004
8,327,0,1.27,0,0.5483100000000001,0.6963537000000001
9,277,0,1.2830000000000001,0,1.12,1.4369600000000002
9,287,0,1.1478,0,1.12,1.285536
9,297,0,0.9073,0,1.12,1.0161760000000002
9,307,0,0.7628,0,1.12,0.8543360000000001
9,317,0,0.9037,0,1.12,1.012144
9,327,0,1.1591,0,1.12,1.2981920000000002
10,277,0,1.1671,0,1.124,1.3118204000000002
10,287,0,1.1174,0,1.124,1.2559576000000001
10,297,0,1.0196,0,1.124,1.1460304000000001
10,307,0,0.9239,0,1.124,1.0384636000000003
10,317,0,1.1056,0,1.124,1.2426944
10,327,0,1.1975,0,1.124,1.3459900000000002
11,277,0,1.0194,0,1.107,1.1284758000000001
11,287,0,0.9990000000000001,0,1.107,1.105893
11,297,0,1.0028,0,1.107,1.1100995999999999
11,307,0,1.0275,0,1.107,1.1374425000000001
11,317,0,1.0356,0,1.107,1.1464092000000001
11,327,0,1.0429,0,1.107,1.1544903
12,277,0,1.1995,0,1.12,1.3434400000000002
12,287,0,1.1072,0,1.12,1.240064
12,297,0,0.9243,0,1.12,1.0352160000000001
12,307,0,1.0176,0,1.12,1.1397120000000003
12,317,0,1.1131,0,1.12,1.246672
12,327,0,1.1686,0,1.12,1.3088320000000002
13,277,0,1.1627,0,1.1159999999999999,1.2975732
13,287,0,0.9011,0,1.1159999999999999,1.0056276
13,297,0,0.7622,0,1.1159999999999999,0.8506151999999999
13,307,0,0.9036,0,1.1159999999999999,1.0084175999999998
13,317,0,1.1498,0,1.1159999999999999,1.2831768
13,327,0,1.2843,0,1.1159999999999999,1.4332787999999999
14,277,0,1.3012,0,0.54885,0.7141636199999999
14,287,0,0.8411,0,0.54885,0.46163773499999994
14,297,0,0.5709,0,0.54885,0.31333846499999995
14,307,0,0.8011,0,0.54885,0.43968373499999996
14,317,0,1.2688,0,0.54885,0.6963808799999999
14,327,0,1.3840000000000001,0,0.54885,0.7596084
15,277,0,1.3412,0,0.32041,0.42973389199999995
15,287,0,0.664,0,0.32041,0.21275223999999998
15,297,0,0.4427,0,0.32041,0.14184550699999998
15,307,0,0.6123,0,0.32041,0.19618704299999998
15,317,0,1.274,0,0.32041,0.40820234
15,327,0,1.8,0,0.32041,0.576738
16,277,0,1.4819,0,0.55323,0.819831537
16,287,0,1.4007,0,0.55323,0.774909261
16,297,0,0.8452,0,0.55323,0.46758999599999995
16,307,0,0.5185,0,0.55323,0.286849755
16,317,0,0.6409,0,0.55323,0.354565107
16,327,0,1.2159,0,0.55323,0.6726723569999999
17,277,0,1.2857,0,1.115,1.4335555
17,287,0,1.1609,0,1.115,1.2944035
17,297,0,0.9043,0,1.115,1.0082945
17,307,0,0.7599,0,1.115,0.8472885
17,317,0,0.9044,0,1.115,1.008406
17,327,0,1.1487,0,1.115,1.2808005
18,277,0,1.1551,0,1.171,1.3526221
18,287,0,1.1577,0,1.171,1.3556667
18,297,0,1.0735,0,1.171,1.2570685
18,307,0,0.9187,0,1.171,1.0757977
18,317,0,1.0702,0,1.171,1.2532042
18,327,0,1.1577,0,1.171,1.3556667
19,277,0,0.9717,0,1.251,1.2155966999999999
19,287,0,0.9991,0,1.251,1.2498740999999998
19,297,0,1.0533,0,1.251,1.3176782999999999
19,307,0,1.0938,0,1.251,1.3683438
19,317,0,1.0154,0,1.251,1.2702654
19,327,0,0.9828,0,1.251,1.2294828
20,277,0,1.0016,0,1.153,1.1548448
20,287,0,1.0094,0,1.153,1.1638382
20,297,0,1.0231,0,1.153,1.1796342999999998
20,307,0,1.0341,0,1.153,1.1923173
20,317,0,1.0473,0,1.153,1.2075368999999998
20,327,0,1.0103,0,1.153,1.1648759
21,277,0,1.0129,0,1.153,1.1678737
21,287,0,1.048,0,1.153,1.208344
21,297,0,1.0328,0,1.153,1.1908184
21,307,0,1.0205,0,1.153,1.1766365
21,317,0,1.01,0,1.153,1.16453
21,327,0,1.0035,0,1.153,1.1570355
22,277,0,0.9843,0,1.252,1.2323435999999999
22,287,0,1.0158,0,1.252,1.2717816
22,297,0,1.0922,0,1.252,1.3674344
22,307,0,1.0502,0,1.252,1.3148504
22,317,0,0.9987,0,1.252,1.2503724
22,327,0,0.9736,0,1.252,1.2189472000000001
23,277,0,1.1575,0,1.173,1.3577475
23,287,0,1.0727,0,1.173,1.2582771
23,297,0,0.9196,0,1.173,1.0786908
23,307,0,1.0714,0,1.173,1.2567522
23,317,0,1.157,0,1.173,1.357161
23,327,0,1.1555,0,1.173,1.3554015
24,277,0,1.1495,0,1.121,1.2885895
24,287,0,0.9041,0,1.121,1.0134961
24,297,0,0.7652,0,1.121,0.8577892
24,307,0,0.903,0,1.121,1.0122630000000001
24,317,0,1.1603,0,1.121,1.3006963
24,327,0,1.2816,0,1.121,1.4366736
25,277,0,1.2148,0,0.55706,0.6767164880000001
25,287,0,0.6409,0,0.55706,0.357019754
