tvs,tvel,time,kk,state,kq,kr
1,272,13,1.6389,0,0.33971,0.5567507190000001
1,282,13,1.6857,0,0.33971,0.572649147
1,292,13,0.9659,0,0.33971,0.328125889
1,302,13,0.4448,0,0.33971,0.15110300799999998
1,312,13,0.4211,0,0.33971,0.143051881
1,322,13,0.9008,0,0.33971,0.30601076800000004
2,272,13,1.5058,0,0.56112,0.8449344959999999
2,282,13,1.4084,0,0.56112,0.790281408
2,292,13,0.8783,0,0.56112,0.49283169599999993
2,302,13,0.4665,0,0.56112,0.26176248
2,312,13,0.6207,0,0.56112,0.34828718399999997
2,322,13,1.1364,0,0.56112,0.637656768
3,272,13,1.3927,0,0.87136,1.213543072
3,282,13,1.2943,0,0.87136,1.1278012480000001
3,292,13,0.8511,0,0.87136,0.741614496
3,302,13,0.5362,0,0.87136,0.46722323200000004
3,312,13,0.7476,0,0.87136,0.6514287360000001
3,322,13,1.1986,0,0.87136,1.044412096
4,272,13,1.3898,0,0.86882,1.207486036
4,282,13,1.1976,0,0.86882,1.0404988320000002
4,292,13,0.747,0,0.86882,0.6490085400000001
4,302,13,0.5448,0,0.86882,0.473333136
4,312,13,0.8529,0,0.86882,0.741016578
4,322,13,1.2977,0,0.86882,1.127467714
5,272,13,1.5069,0,0.55924,0.8427187559999999
5,282,13,1.1349,0,0.55924,0.6346814759999999
5,292,13,0.6187,0,0.55924,0.346001788
5,302,13,0.4658,0,0.55924,0.26049399199999995
5,312,13,0.8782,0,0.55924,0.49112456799999993
5,322,13,1.4089,0,0.55924,0.787913236
6,272,13,1.6555,0,0.33432,0.55346676
6,282,13,0.9023,0,0.33432,0.301656936
6,292,13,0.4044,0,0.33432,0.135199008
6,302,13,0.4309,0,0.33432,0.144058488
6,312,13,0.9638,0,0.33432,0.322217616
6,322,13,1.7043,0,0.33432,0.569781576
7,272,13,1.7048,0,0.3344,0.57008512
7,282,13,1.6555,0,0.3344,0.5535992
7,292,13,0.9021,0,0.3344,0.30166223999999997
7,302,13,0.4049,0,0.3344,0.13539855999999997
7,312,13,0.4306,0,0.3344,0.14399263999999998
7,322,13,0.9646,0,0.3344,0.32256224
8,272,13,1.3584,0,0.56453,0.7668575519999999
8,282,13,1.3734,0,0.56453,0.7753255019999999
8,292,13,1.0821,0,0.56453,0.610877913
8,302,13,0.6314,0,0.56453,0.35644424199999997
8,312,13,0.6051,0,0.56453,0.34159710299999996
8,322,13,1.0295,0,0.56453,0.581183635
9,272,13,1.2433,0,1.073,1.3340609
9,282,13,1.2329,0,1.073,1.3229017
9,292,13,1.0436,0,1.073,1.1197828
9,302,13,0.7938,0,1.073,0.8517473999999999
9,312,13,0.7948,0,1.073,0.8528203999999999
9,322,13,1.0591,0,1.073,1.1364142999999998
10,272,13,1.1919,0,1.139,1.3575741
10,282,13,1.1486,0,1.139,1.3082554000000002
10,292,13,1.0635,0,1.139,1.2113265
10,302,13,0.9263,0,1.139,1.0550557
10,312,13,0.9863,0,1.139,1.1233956999999999
10,322,13,1.1588,0,1.139,1.3198732
11,272,13,1.046,0,1.036,1.0836560000000002
11,282,13,1.0316,0,1.036,1.0687376000000002
11,292,13,0.9892,0,1.036,1.0248112
11,302,13,0.972,0,1.036,1.006992
11,312,13,1.037,0,1.036,1.0743319999999998
11,322,13,1.0662,0,1.036,1.1045832
12,272,13,1.1944,0,1.135,1.3556439999999998
12,282,13,1.1609,0,1.135,1.3176215
12,292,13,0.9872,0,1.135,1.120472
12,302,13,0.9262,0,1.135,1.051237
12,312,13,1.0615,0,1.135,1.2048025000000002
12,322,13,1.1484,0,1.135,1.3034340000000002
13,272,13,1.2457,0,1.069,1.3316533
13,282,13,1.0596,0,1.069,1.1327124
13,292,13,0.7925,0,1.069,0.8471825
13,302,13,0.7922,0,1.069,0.8468618
13,312,13,1.0438,0,1.069,1.1158222
13,322,13,1.2346,0,1.069,1.3197873999999998
14,272,13,1.3735,0,0.56435,0.775134725
14,282,13,1.082,0,0.56435,0.6106267000000001
14,292,13,0.631,0,0.56435,0.35610485000000003
14,302,13,0.6055,0,0.56435,0.34171392500000003
14,312,13,1.0296,0,0.56435,0.58105476
14,322,13,1.3581,0,0.56435,0.7664437350000001
15,272,13,1.6858,0,0.33969,0.572649402
15,282,13,0.9662,0,0.33969,0.32820847799999997
15,292,13,0.4443,0,0.33969,0.150924267
15,302,13,0.4215,0,0.33969,0.143179335
15,312,13,0.9002,0,0.33969,0.305788938
15,322,13,1.6385,0,0.33969,0.556582065
16,272,13,1.4089,0,0.55953,0.788321817
16,282,13,1.5068,0,0.55953,0.843099804
16,292,13,1.135,0,0.55953,0.63506655
16,302,13,0.6191,0,0.55953,0.346405023
16,312,13,0.4654,0,0.55953,0.26040526199999997
16,322,13,0.8786,0,0.55953,0.491603058
17,272,13,1.2347,0,1.07,1.321129
17,282,13,1.2455,0,1.07,1.3326850000000001
17,292,13,1.0598,0,1.07,1.1339860000000002
17,302,13,0.7926,0,1.07,0.848082
17,312,13,0.7921,0,1.07,0.847547
17,322,13,1.0437,0,1.07,1.116759
18,272,13,1.1605,0,1.192,1.383316
18,282,13,1.1603,0,1.192,1.3830776
18,292,13,1.1164,0,1.192,1.3307488
18,302,13,0.9585,0,1.192,1.1425319999999999
18,312,13,0.9567,0,1.192,1.1403864
18,322,13,1.1156,0,1.192,1.3297952
19,272,13,1.0066,0,1.177,1.1847682
19,282,13,1.0119,0,1.177,1.1910063
19,292,13,1.0437,0,1.177,1.2284349
19,302,13,1.0669,0,1.177,1.2557413
19,312,13,1.0405,0,1.177,1.2246685
19,322,13,1.0099,0,1.177,1.1886523
20,272,13,1.0415,0,1.1159999999999999,1.162314
20,282,13,1.0232,0,1.1159999999999999,1.1418912
20,292,13,0.9926,0,1.1159999999999999,1.1077416
20,302,13,1.0066,0,1.1159999999999999,1.1233655999999999
20,312,13,1.0316,0,1.1159999999999999,1.1512656
20,322,13,1.0363,0,1.1159999999999999,1.1565108
21,272,13,1.0437,0,1.117,1.1658129000000002
21,282,13,1.0373,0,1.117,1.1586641000000002
21,292,13,1.0308,0,1.117,1.1514035999999999
21,302,13,1.0038,0,1.117,1.1212446
21,312,13,0.993,0,1.117,1.109181
21,322,13,1.0237,0,1.117,1.1434729000000001
22,272,13,1.0084,0,1.177,1.1868868
22,282,13,1.0105,0,1.177,1.1893585
22,292,13,1.0399,0,1.177,1.2239623000000002
22,302,13,1.0625,0,1.177,1.2505625
22,312,13,1.0424,0,1.177,1.2269048
22,322,13,1.0129,0,1.177,1.1921833
23,272,13,1.1602,0,1.1909999999999998,1.3817981999999998
23,282,13,1.1163,0,1.1909999999999998,1.3295133
23,292,13,0.9583,0,1.1909999999999998,1.1413353
23,302,13,0.9570000000000001,0,1.1909999999999998,1.1397869999999999
23,312,13,1.1155,0,1.1909999999999998,1.3285604999999998
23,322,13,1.1606,0,1.1909999999999998,1.3822746
24,272,13,1.2329999999999999,0,1.072,1.3217759999999998
24,282,13,1.0434,0,1.072,1.1185248
24,292,13,0.7938,0,1.072,0.8509536
24,302,13,0.7951,0,1.072,0.8523472000000001
