tvs,tvel,time,kk,state,kq,kr
70,277,25,1.0119,0,1.237,1.2517203000000001
70,287,25,1.0198,0,1.237,1.2614926000000002
70,297,25,1.0258,0,1.237,1.2689146000000002
70,307,25,1.0118,0,1.237,1.2515966
70,317,25,0.9954,0,1.237,1.2313098
70,327,25,0.9957,0,1.237,1.2316809000000002
55,277,25,0.9952,0,1.238,1.2320575999999999
55,287,25,1.0117,0,1.238,1.2524846
55,297,25,1.0213,0,1.238,1.2643694
55,307,25,1.0248,0,1.238,1.2687024
55,317,25,1.0112,0,1.238,1.2518656000000001
55,327,25,0.9961,0,1.238,1.2331718
96,277,25,1.0538,0,1.008,1.0622304
96,287,25,1.0258,0,1.008,1.0340064
96,297,25,0.9614,0,1.008,0.9690912
96,307,25,0.941,0,1.008,0.9485279999999999
96,317,25,1.0047,0,1.008,1.0127376
96,327,25,1.0767,0,1.008,1.0853136
95,277,25,1.0258,0,1.008,1.0340064
95,287,25,0.9602,0,1.008,0.9678816
95,297,25,0.9418,0,1.008,0.9493344
95,307,25,1.0053,0,1.008,1.0133424000000002
95,317,25,1.0763,0,1.008,1.0849104
95,327,25,1.0541,0,1.008,1.0625328
83,277,25,1.0764,0,1.008,1.0850112
83,287,25,1.0537,0,1.008,1.0621296
83,297,25,1.0271,0,1.008,1.0353168
83,307,25,0.9608,0,1.008,0.9684864
83,317,25,0.9404,0,1.008,0.9479232
83,327,25,1.0053,0,1.008,1.0133424000000002
81,277,25,0.9602,0,1.008,0.9678816
81,287,25,0.9404,0,1.008,0.9479232
81,297,25,1.0062,0,1.008,1.0142496
81,307,25,1.0768,0,1.008,1.0854144
81,317,25,1.0535,0,1.008,1.0619280000000002
81,327,25,1.026,0,1.008,1.034208
68,277,25,0.9404,0,1.0090000000000001,0.9488636000000001
68,287,25,1.0048,0,1.0090000000000001,1.0138432
68,297,25,1.0778,0,1.0090000000000001,1.0875002000000003
68,307,25,1.0543,0,1.0090000000000001,1.0637887000000001
68,317,25,1.0257,0,1.0090000000000001,1.0349313000000002
68,327,25,0.9604,0,1.0090000000000001,0.9690436000000001
69,277,25,1.0048,0,1.0090000000000001,1.0138432
69,287,25,1.0763,0,1.0090000000000001,1.0859867
69,297,25,1.055,0,1.0090000000000001,1.064495
69,307,25,1.0264,0,1.0090000000000001,1.0356376
69,317,25,0.9601,0,1.0090000000000001,0.9687409
69,327,25,0.9407,0,1.0090000000000001,0.9491663000000001
130,277,25,1.0156,0,1.131,1.1486436
130,287,25,0.985,0,1.131,1.1140349999999999
130,297,25,0.9974,0,1.131,1.1280594
130,307,25,0.9909,0,1.131,1.1207079
130,317,25,1.0406,0,1.131,1.1769186
130,327,25,1.0385,0,1.131,1.1745435
64,277,25,0.985,0,1.131,1.1140349999999999
64,287,25,0.9959,0,1.131,1.1263629
64,297,25,0.9915,0,1.131,1.1213865
64,307,25,1.0412,0,1.131,1.1775972
64,317,25,1.0381,0,1.131,1.1740911
64,327,25,1.016,0,1.131,1.1490960000000001
91,277,25,0.99,0,1.131,1.11969
91,287,25,0.9967,0,1.131,1.1272677
91,297,25,0.987,0,1.131,1.116297
91,307,25,1.0164,0,1.131,1.1495484
91,317,25,1.0375,0,1.131,1.1734125000000002
91,327,25,1.0402,0,1.131,1.1764662000000001
145,277,25,1.0381,0,1.13,1.173053
145,287,25,1.0156,0,1.13,1.1476279999999999
145,297,25,0.9864,0,1.13,1.114632
145,307,25,0.9967,0,1.13,1.126271
145,317,25,0.9903,0,1.13,1.119039
145,327,25,1.0411,0,1.13,1.1764429999999997
142,277,25,1.0398,0,1.131,1.1760138
142,287,25,0.99,0,1.131,1.11969
142,297,25,0.9981,0,1.131,1.1288510999999999
142,307,25,0.9863,0,1.131,1.1155053
142,317,25,1.0158,0,1.131,1.1488698
142,327,25,1.0379,0,1.131,1.1738649
136,277,25,1.0375,0,1.131,1.1734125000000002
136,287,25,1.0397,0,1.131,1.1759007000000001
136,297,25,0.9914,0,1.131,1.1212734
136,307,25,0.9973,0,1.131,1.1279463
136,317,25,0.9857,0,1.131,1.1148267
136,327,25,1.0161,0,1.131,1.1492091
28,277,25,0.9964,0,1.131,1.1269284
28,287,25,0.9857,0,1.131,1.1148267
28,297,25,1.0175,0,1.131,1.1507925
28,307,25,1.0383,0,1.131,1.1743173
28,317,25,1.0395,0,1.131,1.1756745000000002
28,327,25,0.99,0,1.131,1.11969
19,277,25,0.9958,0,1.1320000000000001,1.1272456000000002
