tvs,tvel,time,kk,state,kq,kr
70,277,0,1.0862,0,1.225,1.3305950000000002
70,287,0,1.0456,0,1.225,1.28086
70,297,0,1.0546,0,1.225,1.2918850000000002
70,307,0,1.0836,0,1.225,1.32741
70,317,0,1.1276,0,1.225,1.38131
70,327,0,1.1231,0,1.225,1.3757975
55,277,0,1.1229,0,1.225,1.3755525000000002
55,287,0,1.0863,0,1.225,1.3307175000000002
55,297,0,1.0469,0,1.225,1.2824525
55,307,0,1.0534,0,1.225,1.2904149999999999
55,317,0,1.0827,0,1.225,1.3263075000000002
55,327,0,1.1284,0,1.225,1.3822900000000002
96,277,0,1.0215,0,1.2309999999999999,1.2574665
96,287,0,0.9916,0,1.2309999999999999,1.2206595999999998
96,297,0,0.9958,0,1.2309999999999999,1.2258297999999999
96,307,0,1.0197,0,1.2309999999999999,1.2552507
96,317,0,1.0475,0,1.2309999999999999,1.2894725
96,327,0,1.0491,0,1.2309999999999999,1.2914420999999998
95,277,0,0.9911,0,1.2309999999999999,1.2200440999999997
95,287,0,0.9946,0,1.2309999999999999,1.2243526
95,297,0,1.0203,0,1.2309999999999999,1.2559892999999998
95,307,0,1.0483,0,1.2309999999999999,1.2904573
95,317,0,1.0489,0,1.2309999999999999,1.2911958999999997
95,327,0,1.0213,0,1.2309999999999999,1.2572203
83,277,0,1.0492,0,1.232,1.2926144
83,287,0,1.0214,0,1.232,1.2583648
83,297,0,0.9926,0,1.232,1.2228832
83,307,0,0.9951,0,1.232,1.2259632
83,317,0,1.0189,0,1.232,1.2552847999999999
83,327,0,1.0481,0,1.232,1.2912592
81,277,0,0.9945,0,1.232,1.225224
81,287,0,1.0190000000000001,0,1.232,1.255408
81,297,0,1.0485,0,1.232,1.291752
81,307,0,1.0490000000000002,0,1.232,1.2923680000000002
81,317,0,1.0208,0,1.232,1.2576256
81,327,0,0.9912,0,1.232,1.2211584
68,277,0,1.0189,0,1.232,1.2552847999999999
68,287,0,1.0478,0,1.232,1.2908896
68,297,0,1.0502,0,1.232,1.2938464
68,307,0,1.0211,0,1.232,1.2579951999999999
68,317,0,0.9907,0,1.232,1.2205424
68,327,0,0.9947,0,1.232,1.2254704
69,277,0,1.0474,0,1.232,1.2903968000000001
69,287,0,1.0490000000000002,0,1.232,1.2923680000000002
69,297,0,1.0226,0,1.232,1.2598432
69,307,0,0.9919,0,1.232,1.2220208
69,317,0,0.9943,0,1.232,1.2249775999999999
69,327,0,1.0192,0,1.232,1.2556544
130,277,0,1.0157,0,1.248,1.2675936
130,287,0,0.9829,0,1.248,1.2266592
130,297,0,0.9733,0,1.248,1.2146784000000002
130,307,0,0.9995,0,1.248,1.247376
130,317,0,1.0518,0,1.248,1.3126464
130,327,0,1.0938,0,1.248,1.3650624000000002
64,277,0,0.9827,0,1.249,1.2273923000000002
64,287,0,0.9721,0,1.249,1.2141529
64,297,0,1.0005,0,1.249,1.2496245000000001
