tvs,tvel,time,kk,state,kq,kr
70,277,13,1.0517,0,1.236,1.2999012
70,287,13,1.0456,0,1.236,1.2923616
70,297,13,1.0545,0,1.236,1.303362
70,307,13,1.0508,0,1.236,1.2987887999999999
70,317,13,1.0479,0,1.236,1.2952044
70,327,13,1.0465,0,1.236,1.293474
55,277,13,1.046,0,1.236,1.292856
55,287,13,1.0516,0,1.236,1.2997776
55,297,13,1.0472,0,1.236,1.2943391999999998
55,307,13,1.0535,0,1.236,1.3021260000000001
55,317,13,1.0501,0,1.236,1.2979236
55,327,13,1.0486,0,1.236,1.2960696
96,277,13,1.0495,0,1.088,1.1418560000000002
96,287,13,1.0067,0,1.088,1.0952896
96,297,13,0.9711,0,1.088,1.0565568
96,307,13,0.9669,0,1.088,1.0519872000000001
96,317,13,1.0203,0,1.088,1.1100864000000001
96,327,13,1.0635,0,1.088,1.157088
95,277,13,1.0069,0,1.088,1.0955072
95,287,13,0.9702,0,1.088,1.0555776000000001
95,297,13,0.9675,0,1.088,1.05264
95,307,13,1.0207,0,1.088,1.1105216
95,317,13,1.0629,0,1.088,1.1564352
95,327,13,1.0499,0,1.088,1.1422912
83,277,13,1.0632,0,1.088,1.1567616
83,287,13,1.0495,0,1.088,1.1418560000000002
83,297,13,1.0078,0,1.088,1.0964864
83,307,13,0.9705,0,1.088,1.0559040000000002
83,317,13,0.9664,0,1.088,1.0514432
83,327,13,1.0209,0,1.088,1.1107392
81,277,13,0.9702,0,1.088,1.0555776000000001
81,287,13,0.9664,0,1.088,1.0514432
81,297,13,1.0212,0,1.088,1.1110656
81,307,13,1.0631,0,1.088,1.1566528
81,317,13,1.0493,0,1.088,1.1416384
81,327,13,1.0072,0,1.088,1.0958336000000002
68,277,13,0.9665,0,1.088,1.051552
68,287,13,1.0203,0,1.088,1.1100864000000001
68,297,13,1.064,0,1.088,1.1576320000000002
68,307,13,1.0499,0,1.088,1.1422912
68,317,13,1.0067,0,1.088,1.0952896
68,327,13,0.9704,0,1.088,1.0557952000000002
69,277,13,1.0203,0,1.088,1.1100864000000001
69,287,13,1.063,0,1.088,1.156544
69,297,13,1.0506,0,1.088,1.1430528
69,307,13,1.0072,0,1.088,1.0958336000000002
69,317,13,0.97,0,1.088,1.05536
69,327,13,0.9668,0,1.088,1.0518784
130,277,13,1.0046,0,1.176,1.1814095999999998
130,287,13,0.9924,0,1.176,1.1670623999999998
130,297,13,0.9952,0,1.176,1.1703552
130,307,13,1.0023,0,1.176,1.1787048
130,317,13,1.0345,0,1.176,1.216572
130,327,13,1.0437,0,1.176,1.2273912
64,277,13,0.9924,0,1.177,1.1680548
64,287,13,0.9941,0,1.177,1.1700557
64,297,13,1.0032,0,1.177,1.1807664000000002
64,307,13,1.0349,0,1.177,1.2180773
64,317,13,1.0428,0,1.177,1.2273756
64,327,13,1.0046,0,1.177,1.1824142
91,277,13,1.0016,0,1.177,1.1788832
91,287,13,0.9956,0,1.177,1.1718212000000001
91,297,13,0.9948,0,1.177,1.1708796000000001
91,307,13,1.005,0,1.177,1.182885
91,317,13,1.0418,0,1.177,1.2261986
91,327,13,1.0333,0,1.177,1.2161941000000003
145,277,13,1.0432,0,1.176,1.2268031999999998
145,287,13,1.0045,0,1.176,1.1812919999999998
145,297,13,0.9936,0,1.176,1.1684736
145,307,13,0.9944,0,1.176,1.1694144
145,317,13,1.0018,0,1.176,1.1781168
145,327,13,1.0351,0,1.176,1.2172775999999998
142,277,13,1.033,0,1.177,1.215841
142,287,13,1.0016,0,1.177,1.1788832
142,297,13,0.9967,0,1.177,1.1731159
142,307,13,0.9940000000000001,0,1.177,1.1699380000000001
142,317,13,1.0045,0,1.177,1.1822965
142,327,13,1.0425,0,1.177,1.2270225000000001
136,277,13,1.042,0,1.177,1.226434
136,287,13,1.0328,0,1.177,1.2156056
136,297,13,1.0027,0,1.177,1.1801779
136,307,13,0.9959,0,1.177,1.1721743
136,317,13,0.9935,0,1.177,1.1693495
136,327,13,1.0049,0,1.177,1.1827672999999999
28,277,13,0.996,0,1.178,1.1732879999999999
28,287,13,0.9934,0,1.178,1.1702252
28,297,13,1.0053,0,1.178,1.1842434
28,307,13,1.0422,0,1.178,1.2277116
28,317,13,1.0326,0,1.178,1.2164027999999998
28,327,13,1.0021,0,1.178,1.1804738
19,277,13,0.9941,0,1.177,1.1700557
19,287,13,1.0017,0,1.177,1.1790009000000001
19,297,13,1.0355,0,1.177,1.2187835000000002
19,307,13,1.0434,0,1.177,1.2280818000000002
19,317,13,1.0042,0,1.177,1.1819434
19,327,13,0.9927,0,1.177,1.1684079
100,277,13,1.0345,0,1.176,1.216572
100,287,13,1.0431,0,1.176,1.2266856
100,297,13,1.0055,0,1.176,1.182468
100,307,13,0.9928,0,1.176,1.1675328
100,317,13,0.9941,0,1.176,1.1690615999999998
100,327,13,1.0022,0,1.176,1.1785872
73,277,13,1.0044,0,1.177,1.1821788
73,287,13,1.0419,0,1.177,1.2263163000000001
73,297,13,1.0339,0,1.177,1.2169003
73,307,13,1.0019,0,1.177,1.1792363000000001
73,317,13,0.9955,0,1.177,1.1717035
73,327,13,0.9938,0,1.177,1.1697026000000001
22,277,13,0.9935,0,1.177,1.1693495
22,287,13,1.0043,0,1.177,1.1820611
22,297,13,1.0429,0,1.177,1.2274933
22,307,13,1.033,0,1.177,1.215841
22,317,13,1.0015,0,1.177,1.1787655000000001
22,327,13,0.9959,0,1.177,1.1721743
34,277,13,1.0019,0,1.176,1.1782344
34,287,13,1.0343,0,1.176,1.2163367999999999
34,297,13,1.0441,0,1.176,1.2278616
34,307,13,1.0046,0,1.176,1.1814095999999998
34,317,13,0.9923,0,1.176,1.1669447999999998
34,327,13,0.9944,0,1.176,1.1694144
70,277,13,1.0555,1,1.25,1.3193750000000002
70,287,13,0.9968,1,1.25,1.246
70,297,13,1.0684,1,1.25,1.3355000000000001
70,307,13,1.0691,1,1.25,1.3363749999999999
70,317,13,1.1481,1,1.25,1.4351249999999998
70,327,13,0.998,1,1.25,1.2475
55,277,13,1.0631,1,1.242,1.3203702
55,287,13,1.1164,1,1.242,1.3865688
55,297,13,1.0432,1,1.242,1.2956543999999999
55,307,13,1.0192,1,1.242,1.2658464
55,317,13,0.9990000000000001,1,1.242,1.240758
55,327,13,1.0697,1,1.242,1.3285674
96,277,13,1.0301,1,1.088,1.1207488
96,287,13,0.9605,1,1.088,1.0450240000000002
96,297,13,0.97,1,1.088,1.05536
96,307,13,0.9303,1,1.088,1.0121664000000001
96,317,13,1.0305,1,1.088,1.121184
96,327,13,1.14,1,1.088,1.24032
95,277,13,0.9639,1,1.095,1.0554705
95,287,13,0.9737,1,1.095,1.0662015
95,297,13,0.9298,1,1.095,1.018131
