tvs,tvel,time,kk,state,kq,kr
70,272,0,1.1664,0,1.225,1.4288400000000003
70,282,0,1.1131,0,1.225,1.3635475000000001
70,292,0,1.0979,0,1.225,1.3449275000000003
70,302,0,1.1169,0,1.225,1.3682025000000002
70,312,0,1.1675,0,1.225,1.4301875000000002
70,322,0,1.1926,0,1.225,1.4609350000000003
55,272,0,1.1929,0,1.225,1.4613025000000002
55,282,0,1.1668,0,1.225,1.4293300000000002
55,292,0,1.1133,0,1.225,1.3637925
55,302,0,1.0979,0,1.225,1.3449275000000003
55,312,0,1.1162,0,1.225,1.3673450000000003
55,322,0,1.1672,0,1.225,1.42982
96,272,0,1.0693,0,1.2309999999999999,1.3163082999999998
96,282,0,1.0286,0,1.2309999999999999,1.2662065999999998
96,292,0,1.0179,0,1.2309999999999999,1.2530348999999998
96,302,0,1.0264,0,1.2309999999999999,1.2634983999999998
96,312,0,1.0582,0,1.2309999999999999,1.3026441999999998
96,322,0,1.0912,0,1.2309999999999999,1.3432671999999999
95,272,0,1.0281,0,1.2309999999999999,1.2655911
95,282,0,1.0173,0,1.2309999999999999,1.2522963
95,292,0,1.026,0,1.2309999999999999,1.2630059999999999
95,302,0,1.0586,0,1.2309999999999999,1.3031365999999998
95,312,0,1.0914,0,1.2309999999999999,1.3435133999999997
95,322,0,1.069,0,1.2309999999999999,1.3159389999999997
83,272,0,1.0915,0,1.232,1.344728
83,282,0,1.0693,0,1.232,1.3173776
83,292,0,1.0287,0,1.232,1.2673584
83,302,0,1.0179,0,1.232,1.2540528
83,312,0,1.0259,0,1.232,1.2639088
83,322,0,1.0581,0,1.232,1.3035792
81,272,0,1.0173,0,1.232,1.2533136
81,282,0,1.0259,0,1.232,1.2639088
81,292,0,1.058,0,1.232,1.303456
81,302,0,1.0913,0,1.232,1.3444816
81,312,0,1.0688,0,1.232,1.3167616
81,322,0,1.028,0,1.232,1.266496
68,272,0,1.0257,0,1.232,1.2636624
68,282,0,1.058,0,1.232,1.303456
68,292,0,1.0917,0,1.232,1.3449744
68,302,0,1.0694,0,1.232,1.3175008
68,312,0,1.0275,0,1.232,1.2658800000000001
68,322,0,1.0171,0,1.232,1.2530671999999998
69,272,0,1.0578,0,1.232,1.3032096
69,282,0,1.0913,0,1.232,1.3444816
69,292,0,1.0695,0,1.232,1.317624
69,302,0,1.0290000000000001,0,1.232,1.2677280000000002
69,312,0,1.0175,0,1.232,1.25356
69,322,0,1.0257,0,1.232,1.2636624
130,272,0,1.082,0,1.248,1.350336
130,282,0,1.0256,0,1.248,1.2799488
