tvs,tvel,time,kk,state,kq,kr
70,272,25,1.0188,0,1.237,1.2602556
70,282,25,1.0356,0,1.237,1.2810372
70,292,25,1.0443,0,1.237,1.2917991000000002
70,302,25,1.0388,0,1.237,1.2849956
70,312,25,1.0191,0,1.237,1.2606267
70,322,25,1.0001,0,1.237,1.2371237000000002
55,272,25,0.9999,0,1.238,1.2378762
55,282,25,1.0189,0,1.238,1.2613982
55,292,25,1.0356,0,1.238,1.2820728000000001
55,302,25,1.0447,0,1.238,1.2933386
55,312,25,1.0383,0,1.238,1.2854154
55,322,25,1.0193,0,1.238,1.2618934000000002
96,272,25,1.0995,0,1.008,1.108296
96,282,25,1.0581,0,1.008,1.0665648
96,292,25,1.0071,0,1.008,1.0151568000000002
96,302,25,0.9453,0,1.008,0.9528624
96,312,25,0.9717,0,1.008,0.9794736
96,322,25,1.0766,0,1.008,1.0852128
95,272,25,1.0579,0,1.008,1.0663632
95,282,25,1.0070000000000001,0,1.008,1.0150560000000002
95,292,25,0.945,0,1.008,0.95256
95,302,25,0.972,0,1.008,0.979776
95,312,25,1.0765,0,1.008,1.085112
95,322,25,1.0997,0,1.008,1.1084976
83,272,25,1.0765,0,1.008,1.085112
83,282,25,1.0997,0,1.008,1.1084976
83,292,25,1.0581,0,1.008,1.0665648
83,302,25,1.0075,0,1.008,1.01556
83,312,25,0.9449,0,1.008,0.9524592
83,322,25,0.9717,0,1.008,0.9794736
81,272,25,1.0068,0,1.008,1.0148544
81,282,25,0.9448,0,1.008,0.9523583999999999
81,292,25,0.9718,0,1.008,0.9795744
81,302,25,1.077,0,1.008,1.085616
81,312,25,1.0994,0,1.008,1.1081952
81,322,25,1.0579,0,1.008,1.0663632
68,272,25,0.9446,0,1.0090000000000001,0.9531014000000001
68,282,25,0.9715,0,1.0090000000000001,0.9802435000000002
68,292,25,1.0766,0,1.0090000000000001,1.0862894
68,302,25,1.1002,0,1.0090000000000001,1.1101018000000002
68,312,25,1.058,0,1.0090000000000001,1.067522
68,322,25,1.0068,0,1.0090000000000001,1.0158612
69,272,25,0.9715,0,1.0090000000000001,0.9802435000000002
69,282,25,1.0765,0,1.0090000000000001,1.0861885000000002
69,292,25,1.0997,0,1.0090000000000001,1.1095973000000001
69,302,25,1.0585,0,1.0090000000000001,1.0680265000000002
69,312,25,1.0071,0,1.0090000000000001,1.0161639000000002
69,322,25,0.9449,0,1.0090000000000001,0.9534041000000001
