tvs,tvel,time,kk,state,kq,kr
70,272,13,1.087,0,1.236,1.343532
70,282,13,1.0875,0,1.236,1.34415
70,292,13,1.0908,0,1.236,1.3482288
70,302,13,1.0917,0,1.236,1.3493411999999998
70,312,13,1.088,0,1.236,1.3447680000000002
70,322,13,1.0778,0,1.236,1.3321608
55,272,13,1.0777,0,1.236,1.3320372
55,282,13,1.087,0,1.236,1.343532
55,292,13,1.0875,0,1.236,1.34415
55,302,13,1.0912,0,1.236,1.3487232
55,312,13,1.0912,0,1.236,1.3487232
55,322,13,1.0881,0,1.236,1.3448916
96,272,13,1.0939,0,1.088,1.1901632000000002
96,282,13,1.0479,0,1.088,1.1401152
96,292,13,1.0044,0,1.088,1.0927872
96,302,13,0.9713,0,1.088,1.0567744000000001
96,312,13,1.0019,0,1.088,1.0900672
96,322,13,1.082,0,1.088,1.1772160000000003
95,272,13,1.0478,0,1.088,1.1400064
95,282,13,1.0045,0,1.088,1.092896
95,292,13,0.9711,0,1.088,1.0565568
95,302,13,1.0021,0,1.088,1.0902848
95,312,13,1.0817,0,1.088,1.1768896000000002
95,322,13,1.0939,0,1.088,1.1901632000000002
83,272,13,1.0819,0,1.088,1.1771072000000002
83,282,13,1.0941,0,1.088,1.1903808000000002
83,292,13,1.0478,0,1.088,1.1400064
83,302,13,1.0046,0,1.088,1.0930048
83,312,13,0.971,0,1.088,1.056448
83,322,13,1.002,0,1.088,1.090176
81,272,13,1.0045,0,1.088,1.092896
81,282,13,0.9711,0,1.088,1.0565568
81,292,13,1.0018,0,1.088,1.0899584
81,302,13,1.0818,0,1.088,1.1769984000000002
81,312,13,1.0936,0,1.088,1.1898368
81,322,13,1.048,0,1.088,1.1402240000000001
68,272,13,0.971,0,1.088,1.056448
68,282,13,1.0018,0,1.088,1.0899584
68,292,13,1.0817,0,1.088,1.1768896000000002
68,302,13,1.0941,0,1.088,1.1903808000000002
68,312,13,1.0478,0,1.088,1.1400064
68,322,13,1.0043,0,1.088,1.0926784
69,272,13,1.0019,0,1.088,1.0900672
69,282,13,1.0818,0,1.088,1.1769984000000002
69,292,13,1.0939,0,1.088,1.1901632000000002
69,302,13,1.0482,0,1.088,1.1404416000000002
69,312,13,1.0043,0,1.088,1.0926784
69,322,13,0.9711,0,1.088,1.0565568
130,272,13,1.0407,0,1.176,1.2238631999999998
130,282,13,1.0101,0,1.176,1.1878776
130,292,13,1.0066,0,1.176,1.1837616
130,302,13,1.0122,0,1.176,1.1903472
130,312,13,1.0439,0,1.176,1.2276264
130,322,13,1.067,0,1.176,1.254792
64,272,13,1.0098,0,1.177,1.1885346
64,282,13,1.0066,0,1.177,1.1847682
64,292,13,1.0122,0,1.177,1.1913594
64,302,13,1.0443,0,1.177,1.2291411
64,312,13,1.0667,0,1.177,1.2555059
64,322,13,1.0405,0,1.177,1.2246685
91,272,13,1.0425,0,1.177,1.2270225000000001
91,282,13,1.0128,0,1.177,1.1920656
91,292,13,1.0086,0,1.177,1.1871222
91,302,13,1.0111,0,1.177,1.1900647000000002
91,312,13,1.04,0,1.177,1.22408
91,322,13,1.0626,0,1.177,1.2506802000000001
145,272,13,1.067,0,1.176,1.254792
145,282,13,1.0407,0,1.176,1.2238631999999998
145,292,13,1.0101,0,1.176,1.1878776
145,302,13,1.0070000000000001,0,1.176,1.1842320000000002
145,312,13,1.0118,0,1.176,1.1898768
145,322,13,1.0441,0,1.176,1.2278616
142,272,13,1.0626,0,1.177,1.2506802000000001
142,282,13,1.0427,0,1.177,1.2272579
142,292,13,1.0127,0,1.177,1.1919479
142,302,13,1.0088,0,1.177,1.1873576
142,312,13,1.0108,0,1.177,1.1897115999999999
142,322,13,1.0401,0,1.177,1.2241977000000002
136,272,13,1.0401,0,1.177,1.2241977000000002
136,282,13,1.0625,0,1.177,1.2505625
136,292,13,1.0426,0,1.177,1.2271402
136,302,13,1.0131,0,1.177,1.1924187
136,312,13,1.0083,0,1.177,1.1867691
136,322,13,1.0108,0,1.177,1.1897115999999999
28,272,13,1.0131,0,1.178,1.1934317999999997
28,282,13,1.0086,0,1.178,1.1881308
28,292,13,1.0104,0,1.178,1.1902511999999998
28,302,13,1.0399,0,1.178,1.2250022
28,312,13,1.0623,0,1.178,1.2513893999999999
28,322,13,1.0426,0,1.178,1.2281828
19,272,13,1.0066,0,1.177,1.1847682
