tvs,tvel,time,kk,state,kq,kr
1,272,0,1.7285,0,0.32001999999999997,0.5531545699999999
1,282,0,1.7957,0,0.32001999999999997,0.5746599139999999
1,292,0,0.9666,0,0.32001999999999997,0.30933133199999996
1,302,0,0.4274,0,0.32001999999999997,0.136776548
1,312,0,0.4032,0,0.32001999999999997,0.129032064
1,322,0,0.8859999999999999,0,0.32001999999999997,0.28353771999999994
2,272,0,1.5943,0,0.55669,0.8875308670000001
2,282,0,1.4827,0,0.55669,0.825404263
2,292,0,0.8957,0,0.55669,0.49862723300000006
2,302,0,0.4465,0,0.55669,0.24856208500000002
2,312,0,0.5916,0,0.55669,0.329337804
2,322,0,1.1587,0,0.55669,0.645036703
3,272,0,1.3846,0,0.9215700000000001,1.2760058220000001
3,282,0,1.3101,0,0.9215700000000001,1.2073488570000002
3,292,0,0.8413,0,0.9215700000000001,0.7753168410000001
3,302,0,0.5098,0,0.9215700000000001,0.4698163860000001
3,312,0,0.7016,0,0.9215700000000001,0.6465735120000001
3,322,0,1.1552,0,0.9215700000000001,1.064597664
4,272,0,1.382,0,0.91863,1.2695466599999998
4,282,0,1.1537,0,0.91863,1.0598234309999999
4,292,0,0.7008,0,0.91863,0.643775904
4,302,0,0.5177,0,0.91863,0.475574751
4,312,0,0.8433,0,0.91863,0.774680679
4,322,0,1.3137,0,0.91863,1.206804231
5,272,0,1.5962,0,0.55392,0.884167104
5,282,0,1.157,0,0.55392,0.64088544
5,292,0,0.5898,0,0.55392,0.326702016
5,302,0,0.4461,0,0.55392,0.24710371199999998
5,312,0,0.8959999999999999,0,0.55392,0.4963123199999999
5,322,0,1.4841,0,0.55392,0.8220726719999999
6,272,0,1.7468,0,0.31455,0.54945594
6,282,0,0.8883,0,0.31455,0.279414765
6,292,0,0.3874,0,0.31455,0.12185667
6,302,0,0.4142,0,0.31455,0.13028661
6,312,0,0.9641,0,0.31455,0.30325765499999996
6,322,0,1.8151,0,0.31455,0.570939705
7,272,0,1.8161,0,0.3141,0.57043701
7,282,0,1.7466,0,0.3141,0.5486070599999999
7,292,0,0.8882,0,0.3141,0.27898362
7,302,0,0.3878,0,0.3141,0.12180798
7,312,0,0.414,0,0.3141,0.1300374
7,322,0,0.9649,0,0.3141,0.30307509
8,272,0,1.4395,0,0.5483100000000001,0.7892922450000001
8,282,0,1.4582,0,0.5483100000000001,0.7995456420000001
8,292,0,1.1181,0,0.5483100000000001,0.6130654110000001
8,302,0,0.6071,0,0.5483100000000001,0.332879001
8,312,0,0.5802,0,0.5483100000000001,0.3181294620000001
8,322,0,1.0566,0,0.5483100000000001,0.5793443460000001
9,272,0,1.2677,0,1.12,1.4198240000000002
9,282,0,1.2596,0,1.12,1.4107520000000002
9,292,0,1.0288,0,1.12,1.152256
9,302,0,0.7538,0,1.12,0.8442560000000001
9,312,0,0.7501,0,1.12,0.8401120000000001
9,322,0,1.0357,0,1.12,1.1599840000000001
10,272,0,1.2562,0,1.124,1.4119688000000001
10,282,0,1.2085,0,1.124,1.358354
10,292,0,1.1319,0,1.124,1.2722556
10,302,0,0.9569,0,1.124,1.0755556000000002
10,312,0,1.0245,0,1.124,1.1515380000000002
10,322,0,1.246,0,1.124,1.4005040000000002
11,272,0,1.0542,0,1.107,1.1669994
11,282,0,1.0447,0,1.107,1.1564828999999999
11,292,0,1.0146,0,1.107,1.1231621999999999
11,302,0,1.0102,0,1.107,1.1182914
11,312,0,1.0598,0,1.107,1.1731986
11,322,0,1.0798,0,1.107,1.1953386000000001
12,272,0,1.2590000000000001,0,1.12,1.4100800000000002
12,282,0,1.2485,0,1.12,1.39832
12,292,0,1.0248,0,1.12,1.1477760000000001
12,302,0,0.956,0,1.12,1.0707200000000001
12,312,0,1.1294,0,1.12,1.264928
12,322,0,1.2075,0,1.12,1.3524
13,272,0,1.271,0,1.1159999999999999,1.4184359999999998
13,282,0,1.0369,0,1.1159999999999999,1.1571803999999999
13,292,0,0.7474,0,1.1159999999999999,0.8340983999999999
13,302,0,0.7513,0,1.1159999999999999,0.8384507999999998
13,312,0,1.0284,0,1.1159999999999999,1.1476943999999998
13,322,0,1.2614,0,1.1159999999999999,1.4077224
14,272,0,1.4592,0,0.54885,0.8008819199999999
14,282,0,1.1176,0,0.54885,0.6133947599999999
14,292,0,0.6067,0,0.54885,0.33298729499999996
14,302,0,0.5807,0,0.54885,0.31871719499999995
14,312,0,1.0571,0,0.54885,0.5801893349999999
14,322,0,1.439,0,0.54885,0.78979515
15,272,0,1.7962,0,0.32041,0.575520442
15,282,0,0.9668,0,0.32041,0.30977238799999995
15,292,0,0.42700000000000005,0,0.32041,0.13681507
15,302,0,0.4035,0,0.32041,0.129285435
15,312,0,0.8854,0,0.32041,0.28369101399999996
15,322,0,1.7276,0,0.32041,0.553540316
16,272,0,1.484,0,0.55323,0.82099332
16,282,0,1.5952,0,0.55323,0.8825124959999999
16,292,0,1.1576,0,0.55323,0.6404190479999999
16,302,0,0.5903,0,0.55323,0.326571669
16,312,0,0.4458,0,0.55323,0.246629934
16,322,0,0.8964,0,0.55323,0.49591537199999997
17,272,0,1.2621,0,1.115,1.4072415
17,282,0,1.2704,0,1.115,1.416496
17,292,0,1.0377,0,1.115,1.1570355
17,302,0,0.7472,0,1.115,0.833128
17,312,0,0.7516,0,1.115,0.8380340000000001
17,322,0,1.0276,0,1.115,1.145774
18,272,0,1.2209999999999999,0,1.171,1.4297909999999998
18,282,0,1.2209999999999999,0,1.171,1.4297909999999998
